X;Y;Z;formation
250;250;-250;Layer1
250;500;-250;Layer1
250;750;-250;Layer1
500;250;-50;Layer1
500;500;-50;Layer1
500;750;-50;Layer1
750;250;-250;Layer1
750;500;-250;Layer1
750;750;-250;Layer1
250;250;-350;Layer2
250;500;-350;Layer2
250;750;-350;Layer2
500;250;-150;Layer2
500;500;-150;Layer2
500;750;-150;Layer2
750;250;-350;Layer2
750;500;-350;Layer2
750;750;-350;Layer2
250;250;-450;Layer3
250;500;-450;Layer3
250;750;-450;Layer3
500;250;-250;Layer3
500;500;-250;Layer3
500;750;-250;Layer3
750;250;-450;Layer3
750;500;-450;Layer3
750;750;-450;Layer3
250;250;-550;Layer4
250;500;-550;Layer4
250;750;-550;Layer4
500;250;-350;Layer4
500;500;-350;Layer4
500;750;-350;Layer4
750;250;-550;Layer4
750;500;-550;Layer4
750;750;-550;Layer4
